name,args,ann,sharpe,sortino,calmar,mdd,trades,win_rate,pf
sl=3.5,--sl-atr 3.5,72.17,2.739,4.179,4.343,-16.6,639,58.8,1.91
k=5,--top-k 5,59.78,2.214,3.289,2.493,-24.0,726,52.1,1.56
k=6,--top-k 6,58.32,2.142,3.186,2.521,-23.1,728,52.5,1.57
k=4,--top-k 4,57.52,2.113,3.149,2.0,-28.8,720,51.7,1.54
hold=25,--hold-days 25,55.67,2.09,3.056,3.028,-18.4,553,54.1,1.7
tp=3.5,--tp-atr 3.5,55.25,2.056,3.043,2.197,-25.1,782,54.1,1.48
slip=0.2%,--slippage 0.002,55.94,2.026,3.006,2.326,-24.1,734,52.0,1.53
baseline,,54.6,2.005,2.972,2.359,-23.1,729,52.1,1.54
hold=15,--hold-days 15,54.6,2.005,2.972,2.359,-23.1,729,52.1,1.54
sl=2.5,--sl-atr 2.5,54.6,2.005,2.972,2.359,-23.1,729,52.1,1.54
slip=0.1%,--slippage 0.001,54.6,2.005,2.972,2.359,-23.1,729,52.1,1.54
tp=4.5,--tp-atr 4.5,53.7,1.988,2.928,2.125,-25.3,700,51.4,1.59
hold=30,--hold-days 30,48.09,1.793,2.602,2.318,-20.7,523,54.1,1.64
dyn-risk,--dynamic-risk,39.34,1.673,2.463,1.875,-21.0,715,51.3,1.51
gap=1.5+dyn,--gap-filter 1.5 --dynamic-risk,39.34,1.673,2.463,1.875,-21.0,715,51.3,1.51
hold=20,--hold-days 20,44.44,1.634,2.352,2.035,-21.8,616,51.0,1.5
