,Score
3443,4.0
2454,3.933333333333333
2449,3.7499999999999996
2883,3.7333333333333334
2303,3.683333333333333
6505,3.6
2404,3.5
2884,3.4333333333333336
2892,3.4
3711,3.283333333333333
3044,3.2666666666666666
2887,3.166666666666667
2890,3.1500000000000004
2360,3.15
2885,2.8333333333333335
2834,2.7666666666666666
2308,2.75
2882,2.7333333333333334
3017,2.716666666666667
2368,2.6166666666666667
2395,2.6166666666666663
2891,2.4166666666666665
2886,2.383333333333333
1303,2.333333333333333
2412,2.283333333333333
2881,2.2666666666666666
3036,2.1833333333333336
2379,2.1
3481,2.05
1326,2.0333333333333337
2603,2.033333333333333
2376,2.0000000000000004
1101,1.9166666666666667
2615,1.8166666666666667
3037,1.75
2609,1.65
6770,1.6333333333333335
2377,1.6
3231,1.5
6239,1.4666666666666668
2330,1.4166666666666665
2327,1.4000000000000001
1301,1.3666666666666667
3533,1.35
2357,1.3333333333333335
2301,1.2666666666666666
2382,1.0666666666666667
2408,1.0666666666666667
3034,1.0499999999999998
2317,0.9166666666666666
3661,0.7833333333333334
6669,0.7833333333333332
2344,0.55
2383,0.5166666666666667
1519,0.45
2324,0.43333333333333335
2356,0.31666666666666665
6415,0.18333333333333335
2345,0.16666666666666669
6446,0.08333333333333334
