,Score
2615,4.0
6446,3.8833333333333333
1519,3.833333333333333
2454,3.766666666666666
6415,3.75
2317,3.6833333333333336
4938,3.466666666666667
3017,3.4333333333333336
2345,3.4
3443,3.3000000000000003
6239,3.0666666666666664
3035,3.0666666666666664
3533,3.0666666666666664
2330,3.033333333333333
3711,2.966666666666667
2308,2.916666666666667
2327,2.8
2383,2.716666666666667
2303,2.683333333333333
6669,2.666666666666667
2449,2.6
2883,2.533333333333333
2605,2.4000000000000004
2301,2.4
2382,2.35
1504,2.316666666666667
2377,2.25
2881,2.216666666666667
2882,2.1333333333333333
2609,2.1166666666666667
2353,1.9833333333333334
2356,1.9666666666666666
2379,1.9333333333333333
1216,1.8
3034,1.7666666666666666
6770,1.5999999999999999
1605,1.5666666666666669
2412,1.5333333333333334
2884,1.5
2891,1.5
5871,1.3666666666666667
9945,1.35
2376,1.2333333333333334
2618,1.1333333333333333
2385,1.1
2610,1.0833333333333335
3037,1.0666666666666667
3481,0.9333333333333333
3044,0.9000000000000001
3706,0.9
2357,0.8833333333333334
2404,0.7666666666666666
2886,0.7
2105,0.5833333333333333
2603,0.5666666666666667
3231,0.5333333333333333
2324,0.43333333333333335
3661,0.21666666666666667
2368,0.2
1303,0.08333333333333334
