Date,Equity
2023-07-26,199787.35957781243
2023-07-27,199749.0881326727
2023-07-28,205579.08157172034
2023-07-31,193149.38554245635
2023-08-01,188398.20654365528
2023-08-02,175129.91631545042
2023-08-04,175541.41155063818
2023-08-07,185274.753836034
2023-08-08,184429.43107124543
2023-08-09,183614.51424277478
2023-08-10,172533.63774613125
2023-08-11,174583.5876492674
2023-08-14,171671.58227167613
2023-08-15,175296.7190365127
2023-08-16,178672.5848195564
2023-08-17,181328.12607843056
2023-08-18,177080.36183163506
2023-08-21,177032.25319805776
2023-08-22,178746.41869743087
2023-08-23,180089.76332985907
2023-08-24,182641.96647568335
2023-08-25,180053.83518567737
2023-08-28,178614.5644975303
2023-08-29,178072.96206321876
2023-08-30,177926.5498653698
2023-08-31,177710.80518118493
2023-09-01,177127.70681059192
2023-09-04,177499.85725127102
2023-09-05,177672.69368639163
2023-09-06,178367.50638625084
2023-09-07,178401.72685427233
2023-09-08,178187.01778561246
2023-09-11,177039.7967200418
2023-09-12,176955.81825645856
2023-09-13,177438.8024781928
2023-09-14,177764.06477400154
2023-09-15,177239.1981736115
2023-09-18,176149.98504737052
2023-09-19,175523.7113604731
2023-09-20,174561.77192168293
2023-09-21,172542.59946283585
2023-09-22,171983.25376325968
2023-09-25,172571.00035043203
2023-09-26,173121.97045972076
2023-09-27,174743.9351417837
2023-09-28,174976.7580799806
2023-10-02,174043.61896123414
2023-10-03,173996.47709703204
2023-10-04,174351.1425587449
2023-10-05,175443.47636323783
2023-10-06,176464.92808648944
2023-10-11,175816.11581285807
2023-10-12,175120.42063848797
2023-10-13,175386.4480859422
2023-10-16,175287.92823563825
2023-10-17,174043.0484345846
2023-10-18,171656.5716505365
2023-10-19,172349.54282682974
2023-10-20,170918.3918840225
2023-10-23,169516.30424979923
2023-10-24,168806.394077257
2023-10-25,168750.3756904921
2023-10-26,167802.57525296556
2023-10-27,167535.37785628167
2023-10-30,168346.23139795236
2023-10-31,167710.51578803489
2023-11-01,167932.8955455509
2023-11-02,168731.91329135318
2023-11-03,168842.54352111282
2023-11-06,169915.89043741237
2023-11-07,171201.43526879605
2023-11-08,172153.71603613748
2023-11-09,171482.10299537054
2023-11-10,169298.28435313975
2023-11-13,168837.84510347937
2023-11-14,169596.72945416856
2023-11-15,169124.37429802536
2023-11-16,168462.3636751467
2023-11-17,169325.42943228822
2023-11-20,169152.79385596685
2023-11-21,169856.33035651816
2023-11-22,170002.29633358898
2023-11-23,168019.2096176217
2023-11-24,167005.09521993966
2023-11-27,163673.1774620708
2023-11-28,167359.88972548908
2023-11-29,168714.89757225322
2023-11-30,169132.57907929918
2023-12-01,169136.38678943345
2023-12-04,169086.8893366563
2023-12-05,169841.8288460413
2023-12-06,168026.16168577364
2023-12-07,168095.78567202634
2023-12-08,170171.7031424918
2023-12-11,167934.65436807091
2023-12-12,169172.30100678583
2023-12-13,170486.42839723913
2023-12-14,169985.21069333266
2023-12-15,168997.93429943165
2023-12-18,167687.13097258765
2023-12-19,164847.73617149677
2023-12-20,165185.021847038
2023-12-21,167786.9987658172
2023-12-22,168046.73274801782
2023-12-25,164100.81355900434
2023-12-26,166112.31404946512
2023-12-27,167430.4218149412
2023-12-28,167014.28285556874
2023-12-29,166264.22000125484
2024-01-02,164620.01655522682
2024-01-03,161559.0017686419
2024-01-04,161722.6241564919
2024-01-05,161903.4908555207
2024-01-08,161496.3594119071
2024-01-09,159651.6788335118
2024-01-10,158281.17500294273
2024-01-11,158386.2467409812
2024-01-12,157918.9364133459
2024-01-15,157306.68588260218
2024-01-16,157933.6492762723
2024-01-17,158075.39115116105
2024-01-18,158113.29774466302
2024-01-19,158460.57349224517
2024-01-22,161147.47000902862
2024-01-23,162328.50386450908
2024-01-24,161458.53008330354
2024-01-25,161371.46105585698
2024-01-26,160064.24436670457
2024-01-29,161157.6953199104
2024-01-30,163433.63004330543
2024-01-31,162776.50616221403
2024-02-01,166732.52770987948
2024-02-02,170139.1041305902
2024-02-05,171213.23140168123
2024-02-15,177508.8983783947
2024-02-16,175045.87583915185
2024-02-19,170031.9988084739
2024-02-20,168854.81669702783
2024-02-21,167997.18423137296
