Date,Equity
2023-06-02,201930.64664123743
2023-06-05,201473.95269402728
2023-06-06,200739.0177960411
2023-06-07,206168.08838321932
2023-06-08,201004.7907037909
2023-06-09,208427.3974602716
2023-06-12,206844.1012849454
2023-06-13,212372.37819684861
2023-06-14,213471.77025171582
2023-06-15,220264.70636010022
2023-06-16,220704.00700781925
2023-06-19,219374.61819834373
2023-06-20,217977.33662962573
2023-06-21,219146.3719481671
2023-06-26,215430.72434597576
2023-06-27,204215.9293715415
2023-06-28,204123.05662450334
2023-06-29,206561.72429432475
2023-06-30,212012.61146402435
2023-07-03,219964.7086392315
2023-07-04,229973.73830458327
2023-07-05,225315.56400859222
2023-07-06,222788.125390997
2023-07-07,219951.63833604162
2023-07-10,221395.53578342765
2023-07-11,230464.24304158642
2023-07-12,238799.86919910487
2023-07-13,242568.4148211909
2023-07-14,247526.36058191082
2023-07-17,249946.75641393234
2023-07-18,241756.1333192189
2023-07-19,233705.2265067857
2023-07-20,239212.74620800084
2023-07-21,251096.88668425323
2023-07-24,257142.95130839568
2023-07-25,252739.39945441097
2023-07-26,250348.03544575552
2023-07-27,251124.1502057267
2023-07-28,253584.71122632024
2023-07-31,234915.79376428365
2023-08-01,228418.90088460047
2023-08-02,208181.85644427428
2023-08-04,209647.2041424819
2023-08-07,223023.7212742988
2023-08-08,221099.616716645
2023-08-09,219870.2509849292
2023-08-10,207268.13211918145
2023-08-11,210762.24342405138
2023-08-14,207123.13491732258
2023-08-15,212289.10394195744
2023-08-16,216245.60928881672
2023-08-17,219035.1567823227
2023-08-18,213908.20544387706
2023-08-21,214315.96441807807
2023-08-22,216626.06174407803
2023-08-23,217680.7142139913
2023-08-24,218672.39434220473
2023-08-25,217096.98391244057
2023-08-28,216424.91382287184
2023-08-29,216087.21798703782
2023-08-30,215643.02742929984
2023-08-31,215682.18391029505
2023-09-01,215253.41813518084
2023-09-04,215431.269186337
2023-09-05,215617.11890911582
2023-09-06,216801.88894420542
2023-09-07,216937.4075302494
2023-09-08,216779.62270953294
2023-09-11,215408.0599484187
2023-09-12,215253.02860388666
2023-09-13,215559.78745000807
2023-09-14,216219.89754707323
2023-09-15,215484.52553265105
2023-09-18,214161.20128515206
2023-09-19,213657.6805705947
2023-09-20,211891.9305765171
2023-09-21,209106.56375214513
2023-09-22,208428.36594199453
2023-09-25,209132.35729171103
2023-09-26,209754.11421080775
2023-09-27,211714.5352895636
2023-09-28,211928.9271101419
2023-10-02,210796.6245664909
2023-10-03,210737.01368380556
2023-10-04,211165.65910252425
2023-10-05,212483.8655717303
2023-10-06,213729.0247194882
2023-10-11,212938.4916421359
2023-10-12,212091.14614328134
2023-10-13,212417.565129951
2023-10-16,212295.15384890823
2023-10-17,210917.45342475886
2023-10-18,208019.25812214983
2023-10-19,208176.90112347007
2023-10-20,206655.91164563125
2023-10-23,204952.47961687777
2023-10-24,204519.39758500757
2023-10-25,204459.05498879874
2023-10-26,203115.7771370933
2023-10-27,202948.26096738814
2023-10-30,203815.53570901515
2023-10-31,203048.88556246084
2023-11-01,203290.67430060473
2023-11-02,204167.71622740777
2023-11-03,204518.0479525389
2023-11-06,205736.54741642828
2023-11-07,206900.5458526937
2023-11-08,207885.23699936262
2023-11-09,208102.33067908822
2023-11-10,205152.94978817904
2023-11-13,205023.50006562367
2023-11-14,205911.7504112597
2023-11-15,205070.84690665256
2023-11-16,205134.92033825675
2023-11-17,207097.89641720502
2023-11-20,206643.39639887644
2023-11-21,206902.4508765501
