Date,Equity
2023-06-27,196019.13316363315
2023-06-28,195418.07847953273
2023-06-29,198002.2420268502
2023-06-30,202539.63383794553
2023-07-03,208609.98840385015
2023-07-04,217679.02477147194
2023-07-05,213656.6699865448
2023-07-06,212299.5703104895
2023-07-07,210392.83742624568
2023-07-10,212682.22651817647
2023-07-11,221253.7741219098
2023-07-12,230848.80021337714
2023-07-13,234364.394324195
2023-07-14,243524.4591471302
2023-07-17,247215.2341771978
2023-07-18,242235.8427820708
2023-07-19,233932.19841087147
2023-07-20,240528.98907563052
2023-07-21,253470.06547685745
2023-07-24,259709.58007312726
2023-07-25,254569.14039051885
2023-07-26,252475.28060316684
2023-07-27,252981.17029462173
2023-07-28,258195.1139672254
2023-07-31,245784.2614612167
2023-08-01,237808.21843507484
2023-08-02,218242.1001914453
2023-08-04,218341.92083688366
2023-08-07,228806.65996394152
2023-08-08,227822.2058594112
2023-08-09,226704.73267880292
2023-08-10,216494.29455958735
2023-08-11,218752.30268179247
2023-08-14,214205.22070954222
2023-08-15,217096.33366679974
2023-08-16,220405.05596795413
2023-08-17,222238.265367397
2023-08-18,219055.36466283753
2023-08-21,219088.5680278363
2023-08-22,220976.3739419192
2023-08-23,222303.1860985432
2023-08-24,223984.7376858713
2023-08-25,222709.9996554761
2023-08-28,222077.82266680646
2023-08-29,221788.66366418105
2023-08-30,221595.35574374234
2023-08-31,222260.17864962423
2023-09-01,221567.7618648726
2023-09-04,221967.62818345276
2023-09-05,222619.27852648875
2023-09-06,223811.02272486177
2023-09-07,223863.89925454432
2023-09-08,223763.17796780498
2023-09-11,222215.68298268053
2023-09-12,221772.55329621537
2023-09-13,221932.33085101645
2023-09-14,222556.56528673062
2023-09-15,221985.11157260078
2023-09-18,220390.872108869
2023-09-19,219613.12553902293
2023-09-20,217815.3562380198
2023-09-21,214623.6172394758
2023-09-22,214121.1095670209
2023-09-25,214921.35541964788
2023-09-26,215536.22329291853
2023-09-27,217356.01794566415
2023-09-28,217580.37900225917
2023-10-02,216409.52657056146
2023-10-03,216479.84411993533
2023-10-04,216975.00812915288
2023-10-05,218331.19695230146
2023-10-06,219613.0372390261
2023-10-11,218800.81763988957
2023-10-12,217928.7750529013
2023-10-13,218265.48397080597
2023-10-16,218139.5588721558
2023-10-17,216427.42439020818
2023-10-18,213304.59865371883
2023-10-19,213570.26744563112
2023-10-20,212265.53857150758
2023-10-23,210132.16958852645
2023-10-24,209655.77580968483
2023-10-25,209632.38596133242
2023-10-26,208311.17975708406
2023-10-27,207856.46702896012
2023-10-30,209105.46900729023
2023-10-31,208205.74086934753
2023-11-01,208479.22005317692
2023-11-02,209536.23409548018
2023-11-03,209914.38073822774
2023-11-06,211256.32903817427
2023-11-07,212321.92751800176
2023-11-08,213490.64164320147
2023-11-09,213717.8147601888
2023-11-10,210669.6605501604
2023-11-13,210572.41818415828
2023-11-14,211493.27795893024
2023-11-15,210600.92203639465
2023-11-16,210307.6122652374
2023-11-17,212045.66753615785
2023-11-20,211589.1031481724
2023-11-21,211848.2127967235
2023-11-22,211631.68235034996
2023-11-23,210079.2742405053
2023-11-24,209471.06416338283
2023-11-27,206457.95894944275
2023-11-28,210149.79559320046
2023-11-29,211769.64265102052
2023-11-30,212096.63152127495
2023-12-01,212235.85968033032
2023-12-04,212589.55899838512
2023-12-05,213835.99559844777
2023-12-06,211278.39809397925
2023-12-07,211702.7000466463
2023-12-08,215651.7183452642
2023-12-11,210925.84916980172
2023-12-12,214132.33983722577
2023-12-13,214659.59341951302
2023-12-14,216186.3764524029
2023-12-15,214949.80436380254
2023-12-18,214836.41609512852
2023-12-19,212167.04661202707
2023-12-20,213128.68872995832
2023-12-21,215610.14377177396
2023-12-22,216109.3389102551
2023-12-25,214354.65193475244
2023-12-26,217461.90539424174
2023-12-27,220396.88974288417
2023-12-28,219164.76852659642
2023-12-29,217790.21156939873
2024-01-02,216318.39689724782
2024-01-03,212372.52365496778
2024-01-04,212704.18545364484
2024-01-05,212930.34465082714
2024-01-08,212394.62064140177
2024-01-09,209960.4302330101
2024-01-10,208180.18926973274
2024-01-11,208310.2329774118
2024-01-12,207695.51024250116
2024-01-15,206894.8459759983
2024-01-16,207808.40544823365
2024-01-17,207865.0848481683
2024-01-18,208266.85375724122
2024-01-19,209357.24898834326
2024-01-22,212830.7164060554
2024-01-23,214287.4456909505
2024-01-24,213055.35128667761
2024-01-25,212928.6837840624
2024-01-26,210924.1990691962
2024-01-29,212385.5979873211
2024-01-30,214743.69001094654
2024-01-31,213848.6835416048
2024-02-01,218556.2188809908
2024-02-02,222616.908173207
2024-02-05,223931.31328742317
2024-02-15,231240.55706651908
2024-02-16,228263.52396474208
2024-02-19,222060.6674683882
2024-02-20,219973.59700603093
2024-02-21,218848.49637727882
2024-02-22,221027.06430032323
2024-02-23,222567.63618760003
2024-02-26,222597.60503951443
2024-02-27,217511.66598105946
2024-02-29,220858.8649967743
2024-03-01,219771.46524143746
2024-03-04,222701.23816107228
2024-03-05,227104.85509238395
2024-03-06,232560.55207102466
2024-03-07,228729.52974948936
2024-03-08,219773.98097221798
2024-03-11,220212.48676452285
2024-03-12,223866.59715000505
2024-03-13,225604.95287655544
2024-03-14,216098.63281072048
2024-03-15,216859.495760083
2024-03-18,224027.02717303886
2024-03-19,222541.64664873033
2024-03-20,220644.70183209502
2024-03-21,223379.28969026508
2024-03-22,221675.45741437227
2024-03-25,223159.93772418742
