Ticker,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Return_Pct,Reason,Days_Held,TP_Price,SL_Price
2301,2023-06-16,2023-06-26,100.47,91.26,-0.0988,🔴 停損,4,115.21,91.26
2610,2023-06-19,2023-06-27,25.73,23.75,-0.0844,🔴 停損,4,28.91,23.75
3231,2023-06-16,2023-07-03,73.35,87.6,0.185,🟢 停利,9,87.6,64.44
3017,2023-06-19,2023-07-03,239.36,279.2,0.1573,🟢 停利,8,279.2,214.45
2382,2023-06-16,2023-07-04,136.14,159.89,0.1653,🟢 停利,10,159.89,121.29
1519,2023-06-19,2023-07-06,133.66,115.82,-0.1403,🔴 停損,11,161.94,115.99
3231,2023-07-03,2023-07-06,86.35,102.95,0.1828,🟢 停利,3,102.95,75.98
2376,2023-06-16,2023-07-11,226.24,254.82,0.1175,⚪ 時間到期,15,269.09,199.46
2356,2023-06-16,2023-07-11,41.96,42.82,0.0127,⚪ 時間到期,15,49.03,37.54
2618,2023-06-16,2023-07-11,36.47,35.34,-0.0384,⚪ 時間到期,15,41.83,33.11
3443,2023-06-16,2023-07-11,1606.15,1539.8,-0.0488,⚪ 時間到期,15,1925.33,1406.66
2301,2023-06-26,2023-07-11,91.5,109.32,0.1854,🟢 停利,11,109.32,80.37
3231,2023-07-06,2023-07-12,94.13,112.23,0.183,🟢 停利,4,112.23,82.81
2382,2023-07-04,2023-07-13,149.57,181.62,0.2048,🟢 停利,7,176.0,133.05
3035,2023-07-06,2023-07-14,242.23,278.73,0.1417,🟢 停利,6,278.73,219.41
6669,2023-07-11,2023-07-14,1488.7,1782.68,0.1881,🟢 停利,3,1782.68,1304.96
2356,2023-07-11,2023-07-14,40.91,50.36,0.2213,🟢 停利,3,49.23,35.71
3231,2023-07-12,2023-07-14,111.63,133.64,0.1878,🟢 停利,2,133.64,97.87
2610,2023-06-27,2023-07-17,25.41,23.28,-0.091,🔴 停損,14,28.82,23.28
2383,2023-07-11,2023-07-18,264.71,305.71,0.1458,🟢 停利,5,305.71,239.08
3035,2023-07-14,2023-07-18,265.82,316.72,0.1821,🟢 停利,2,313.28,236.16
3017,2023-07-03,2023-07-21,272.31,317.66,0.1574,🟢 停利,14,317.66,243.96
2376,2023-07-11,2023-07-24,255.79,309.61,0.2009,🟢 停利,9,309.61,222.15
2382,2023-07-13,2023-07-24,181.98,213.59,0.1645,🟢 停利,7,213.59,162.23
3035,2023-07-18,2023-07-24,317.35,374.39,0.1705,🟢 停利,4,372.23,283.05
3035,2023-07-24,2023-07-26,375.14,329.18,-0.1294,🔴 停損,2,448.67,329.18
1519,2023-07-17,2023-07-31,164.08,191.0,0.1549,🟢 停利,10,191.0,147.25
3035,2023-07-26,2023-07-31,337.09,287.59,-0.1535,🔴 停損,3,416.3,287.59
6285,2023-07-11,2023-08-01,99.72,107.24,0.067,⚪ 時間到期,15,111.47,92.37
2368,2023-07-14,2023-08-01,175.4,157.46,-0.1093,🔴 停損,12,204.12,157.46
6669,2023-07-14,2023-08-02,1767.83,1553.68,-0.128,🔴 停損,13,2110.48,1553.68
2356,2023-07-18,2023-08-02,60.97,55.07,-0.1038,🔴 停損,11,70.4,55.07
1519,2023-07-31,2023-08-02,190.33,168.68,-0.1207,🔴 停損,2,224.98,168.68
3044,2023-08-01,2023-08-02,158.54,142.74,-0.1067,🔴 停損,1,183.82,142.74
3231,2023-07-14,2023-08-04,130.08,108.57,-0.1718,🔴 停損,14,155.42,114.24
3706,2023-07-21,2023-08-14,39.88,37.6,-0.0645,⚪ 時間到期,15,49.15,34.08
2356,2023-08-02,2023-08-14,59.84,49.69,-0.1761,🔴 停損,7,76.08,49.69
2382,2023-07-24,2023-08-15,213.93,227.83,0.0566,⚪ 時間到期,15,257.19,186.9
2301,2023-07-24,2023-08-15,134.11,128.47,-0.0496,⚪ 時間到期,15,165.39,114.56
2383,2023-07-31,2023-08-22,406.55,410.47,0.0017,⚪ 時間到期,15,486.18,356.78
1519,2023-08-02,2023-08-22,175.76,216.55,0.2225,🟢 停利,13,216.55,150.26
6285,2023-08-01,2023-08-23,104.32,113.49,0.0794,⚪ 時間到期,15,124.34,91.81
3044,2023-08-02,2023-08-23,149.73,177.26,0.1746,🟢 停利,14,177.26,132.53
3035,2023-08-02,2023-08-24,296.64,320.08,0.0706,⚪ 時間到期,15,388.73,239.09
3231,2023-08-04,2023-08-25,108.79,104.8,-0.0443,⚪ 時間到期,15,152.58,81.42
2357,2023-08-14,2023-09-04,314.01,345.33,0.0911,⚪ 時間到期,15,384.63,269.87
2356,2023-08-14,2023-09-04,50.18,51.2,0.0124,⚪ 時間到期,15,69.07,38.37
2382,2023-08-15,2023-09-05,231.53,226.45,-0.0296,⚪ 時間到期,15,302.51,187.17
3017,2023-08-15,2023-09-05,327.54,323.82,-0.0191,⚪ 時間到期,15,420.29,269.58
2383,2023-08-22,2023-09-12,410.82,416.02,0.0047,⚪ 時間到期,15,512.99,346.96
1519,2023-08-22,2023-09-12,212.2,228.75,0.0696,⚪ 時間到期,15,273.01,174.2
3044,2023-08-23,2023-09-13,168.27,187.83,0.1075,⚪ 時間到期,15,214.26,139.53
6285,2023-08-23,2023-09-13,110.59,125.11,0.1225,⚪ 時間到期,15,130.69,98.02
2368,2023-08-24,2023-09-13,209.34,182.33,-0.1358,🔴 停損,14,252.55,182.33
