Date,Equity
2022-05-06,202058.27495356597
2022-05-09,198484.00168231773
2022-05-10,196955.69084282411
2022-05-11,194328.12885488968
2022-05-12,189795.85423005992
2022-05-13,191991.0187462444
2022-05-16,191859.83590191978
2022-05-17,189778.0367697996
2022-05-18,192077.0823024075
2022-05-19,189789.46222542305
2022-05-20,192404.17784873326
2022-05-23,191308.43196287748
2022-05-24,190848.018282198
2022-05-25,193046.32872933248
2022-05-26,191523.5827776486
2022-05-27,191137.72738477422
2022-05-30,191598.61076969173
2022-05-31,191233.01260264174
2022-06-01,193218.44341369986
2022-06-02,191953.2141987925
2022-06-06,190830.21669559678
2022-06-07,191432.30697622427
2022-06-08,193535.63134537742
2022-06-09,194535.8225150552
2022-06-10,193609.36435041486
2022-06-13,189491.104503267
2022-06-14,190102.3726451894
2022-06-15,189122.63103509563
2022-06-16,186566.8172123227
2022-06-17,184704.49858410956
2022-06-20,181488.54275512596
2022-06-21,184890.56941917213
2022-06-22,181581.13674760022
2022-06-23,181769.48188863436
2022-06-24,181616.33729251917
2022-06-27,182231.86292680397
2022-06-28,181494.80035430382
2022-06-29,182412.21589608426
2022-06-30,179732.6506869809
2022-07-01,177779.0322499768
2022-07-04,177397.23793724304
2022-07-05,178285.20330603493
2022-07-06,176748.73496555845
2022-07-07,176944.51274454806
2022-07-08,176235.860747628
2022-07-11,176413.64455217076
2022-07-12,175850.57223057764
2022-07-13,176813.22478288345
2022-07-14,177251.44443866255
2022-07-15,176374.54525493472
2022-07-18,177097.13039094862
2022-07-19,177008.90588456145
2022-07-20,176552.26438329223
2022-07-21,176655.42171981029
2022-07-22,176560.04946435447
2022-07-25,177872.04989424295
2022-07-26,177461.5474634461
2022-07-27,178458.36462931643
2022-07-28,176976.65628639286
2022-07-29,176756.861854268
2022-08-01,176738.3925308694
2022-08-02,175107.11692409546
2022-08-03,173030.7741876354
2022-08-04,170658.33742555918
2022-08-05,173415.0255889643
2022-08-08,174257.5550299696
2022-08-09,175477.15755132594
2022-08-10,173063.95318785528
2022-08-11,174139.22640390246
2022-08-12,173582.23213046318
2022-08-15,175181.36506135276
2022-08-16,174029.38576286877
2022-08-17,175403.24083545737
2022-08-18,176619.90622150362
2022-08-19,176322.00378602708
2022-08-22,174372.12926477406
2022-08-23,172644.75838500416
2022-08-24,173028.8399275845
2022-08-25,177070.44718352624
2022-08-26,174402.20428746333
2022-08-29,171805.9777718003
2022-08-30,173465.77787149258
2022-08-31,174469.67682709583
2022-09-01,172044.85150808058
2022-09-02,173797.32175545054
2022-09-05,171782.60838719475
2022-09-06,170309.2803437958
2022-09-07,169259.76765887713
2022-09-08,171143.44660139698
2022-09-12,173631.7009829288
2022-09-13,173857.67082793292
2022-09-14,173377.68570990086
2022-09-15,173183.18630896483
2022-09-16,171214.1751518695
2022-09-19,171037.0481247912
2022-09-20,171157.13486751704
2022-09-21,169582.98808285512
2022-09-22,170363.5734090765
2022-09-23,168411.7260475434
2022-09-26,165021.51878229046
2022-09-27,166693.48412076043
2022-09-28,162145.4183492609
2022-09-29,162604.79701977366
2022-09-30,162875.91692309556
2022-10-03,161982.916946547
2022-10-04,163328.22495093278
2022-10-05,163411.58465026302
2022-10-06,164104.38927537418
2022-10-07,163416.49633303992
2022-10-11,160259.0008368212
2022-10-12,159890.46406717773
2022-10-13,158752.41468352274
2022-10-14,159316.51755717414
2022-10-17,158835.7220694576
2022-10-18,158549.94456052812
2022-10-19,158447.3905651629
2022-10-20,158845.2620946977
2022-10-21,157866.34717390005
2022-10-24,157680.15219745116
2022-10-25,156682.32954466762
2022-10-26,156639.4820681522
2022-10-27,157436.6905445162
2022-10-28,156932.95731244163
2022-10-31,157482.51011557347
2022-11-01,157812.60704223253
2022-11-02,158417.19993369243
2022-11-03,158228.06876908068
2022-11-04,157463.08719479875
2022-11-07,158659.84632597936
2022-11-08,158627.6656592899
2022-11-09,161896.9263748577
2022-11-10,160940.8098643265
2022-11-11,164254.7788876933
2022-11-14,164626.60175322357
2022-11-15,166026.03494996726
2022-11-16,167551.4595000277
2022-11-17,168246.17518486612
2022-11-18,169195.92560575914
2022-11-21,170219.30520431645
2022-11-22,167029.3692122493
2022-11-23,169751.79008632968
2022-11-24,171726.6201886913
2022-11-25,170510.35093014906
2022-11-28,170808.14800706756
2022-11-29,170425.94275256258
2022-11-30,174677.96109328486
2022-12-01,176711.9834578637
2022-12-02,178777.4902741301
2022-12-05,178764.22180312162
2022-12-06,176186.62902001478
2022-12-07,172779.4494950577
2022-12-08,172228.66400459365
2022-12-09,176367.2415316414
2022-12-12,174865.22864693106
2022-12-13,172871.04179204677
2022-12-14,176910.14308373342
2022-12-15,177298.68718607174
2022-12-16,174510.57549593042
2022-12-19,172715.07144761283
2022-12-20,166514.70623421346
2022-12-21,169077.3072065598
2022-12-22,170869.63983682473
2022-12-23,170715.81883278023
2022-12-26,168169.13058239757
2022-12-27,168083.15196504456
2022-12-28,166600.14454977098
2022-12-29,166453.2329687009
2022-12-30,167488.07174068672
2023-01-03,166737.63818188442
2023-01-04,165131.24677201148
2023-01-05,165013.72680417297
2023-01-06,163199.23309136456
2023-01-09,163997.893432739
2023-01-10,163090.9801276421
2023-01-11,163777.67047466137
2023-01-12,161260.54353767622
2023-01-13,160620.7642920548
2023-01-16,161504.05381765426
2023-01-17,162820.8808509711
2023-01-30,168774.6190281701
2023-01-31,170052.99995412992
2023-02-01,170510.383127767
2023-02-02,172262.20212331656
2023-02-03,170555.76367197477
2023-02-06,168448.17665113544
2023-02-07,169913.38124715944
2023-02-08,176073.45900112006
2023-02-09,174821.23047216109
2023-02-10,173487.53625968154
2023-02-13,171201.11910857918
2023-02-14,171038.72688212016
2023-02-15,171136.6497381203
2023-02-16,175814.82986630822
2023-02-17,175142.66552976417
2023-02-20,176912.3632197622
2023-02-21,178389.8744750629
2023-02-22,174754.71051210994
2023-02-23,179314.1849883148
2023-02-24,179122.05725599555
2023-03-01,179989.12776114763
2023-03-02,178221.93555309775
2023-03-03,174825.04730835566
2023-03-06,177037.38403240673
2023-03-07,177768.67000060753
2023-03-08,178816.0867681278
2023-03-09,180240.42585310264
2023-03-10,175875.99367870213
2023-03-13,175484.5624099429
2023-03-14,172837.36154064134
2023-03-15,175292.79661913132
2023-03-16,175130.2868778078
2023-03-17,178727.82190010455
2023-03-20,180922.7133253951
2023-03-21,181727.58986226527
2023-03-22,185868.0759733379
2023-03-23,187663.7271726496
2023-03-24,190285.80083603846
2023-03-27,190086.61329470086
2023-03-28,185781.0359773643
2023-03-29,184092.96404190478
2023-03-30,187031.4220626159
2023-03-31,187777.29566137248
2023-04-06,186924.88247884912
2023-04-07,188487.77507026016
2023-04-10,192268.91338575736
2023-04-11,194180.72255625227
2023-04-12,197951.87657375145
2023-04-13,192616.85738149215
2023-04-14,193535.56167392293
2023-04-17,194039.40556920753
2023-04-18,192473.61921111483
2023-04-19,195182.52207671286
2023-04-20,192039.44487333123
2023-04-21,187127.38997592212
2023-04-24,190708.6238380507
2023-04-25,183481.09833643507
2023-04-26,184967.0264279736
2023-04-27,188243.18188744114
2023-04-28,189854.53220182908
2023-05-02,195586.53346378022
2023-05-03,193244.21296878968
2023-05-04,196035.7317360895
2023-05-05,194270.49704375438
2023-05-08,198162.4681776816
2023-05-09,195682.27696355875
2023-05-10,194026.2692220225
2023-05-11,190107.5364898819
2023-05-12,193777.60919758177
2023-05-15,192127.9112312915
2023-05-16,195960.9647058128
2023-05-17,197406.21273381903
2023-05-18,201721.61737851636
2023-05-19,204673.13105389598
2023-05-22,204713.58259836846
2023-05-23,207014.27660799355
2023-05-24,208973.1388119598
