Date,Equity
2023-07-20,202383.2807245261
2023-07-21,214704.2165959909
2023-07-24,221130.45041644826
2023-07-25,218369.74922839622
2023-07-26,217641.88236728337
2023-07-27,218001.92894650885
2023-07-28,221904.52686613813
2023-07-31,209926.54363080906
2023-08-01,201372.51711941246
2023-08-02,184677.01209236993
2023-08-04,185102.7545049722
2023-08-07,195031.74908881154
2023-08-08,194212.92524445723
2023-08-09,193343.17577459494
2023-08-10,183712.09455009384
2023-08-11,185330.93918456067
2023-08-14,181480.30664585513
2023-08-15,183930.29735571775
2023-08-16,186734.67633545765
2023-08-17,188288.68293546373
2023-08-18,185590.4119184574
2023-08-21,185619.06822070226
2023-08-22,187218.34892041958
2023-08-23,188343.8127117801
2023-08-24,189769.36822704866
2023-08-25,188688.5169857702
2023-08-28,188153.03317562162
2023-08-29,187907.6396507435
2023-08-30,187743.22695909516
2023-08-31,188306.7720881524
2023-09-01,187720.13413356146
2023-09-04,188058.9127111594
2023-09-05,188611.01500532092
2023-09-06,189620.70436471238
2023-09-07,189665.50291328813
2023-09-08,189580.16747526536
2023-09-11,188269.07378244153
2023-09-12,187893.63737602317
2023-09-13,188029.00789315277
2023-09-14,188557.88314599276
2023-09-15,188073.72794394608
2023-09-18,186723.03000055265
2023-09-19,186064.0930767464
2023-09-20,184540.96271302755
2023-09-21,181836.80231729196
2023-09-22,181411.05986223958
2023-09-25,182089.0572765122
2023-09-26,182609.99541532557
2023-09-27,184151.79005718586
2023-09-28,184341.8799508641
2023-10-02,183349.88931290997
2023-10-03,183409.46675773952
2023-10-04,183828.9850357038
2023-10-05,184977.99798083582
2023-10-06,186064.0173483272
2023-10-11,185375.87691983662
2023-10-12,184637.05207738595
2023-10-13,184922.32032595668
2023-10-16,184815.63623752343
2023-10-17,183365.05259529594
2023-10-18,180719.28337760788
2023-10-19,180944.36699281237
2023-10-20,179838.95044816268
2023-10-23,178031.48483369604
2023-10-24,177627.8681353903
2023-10-25,177608.05109056714
2023-10-26,176488.6778402833
2023-10-27,176103.42856938994
2023-10-30,177161.6292654441
2023-10-31,176399.3470631336
2023-11-01,176631.04586170093
2023-11-02,177526.58734471255
2023-11-03,177846.96668866405
2023-11-06,178983.91418600472
2023-11-07,179886.72705436978
2023-11-08,180876.89998710438
2023-11-09,181069.3706221783
2023-11-10,178486.8678456529
2023-11-13,178404.4760036268
2023-11-14,179184.66544051634
2023-11-15,178428.63063127146
2023-11-16,178180.13125274872
2023-11-17,179652.66829104867
2023-11-20,179265.85100836508
2023-11-21,179485.373363926
2023-11-22,179301.92558440132
2023-11-23,177986.66966852773
2023-11-24,177471.36706203013
2023-11-27,174918.55784744382
2023-11-28,178046.41376126796
2023-11-29,179418.80564892883
2023-11-30,179695.84129186987
2023-12-01,179813.80556972386
2023-12-04,180113.47154530167
2023-12-05,181169.49534560647
2023-12-06,179002.6091352249
2023-12-07,179362.09539944408
2023-12-08,182707.8452192719
2023-12-11,178703.92048026825
2023-12-12,181420.5696570973
2023-12-13,181867.2790831845
2023-12-14,183160.8249384354
2023-12-15,182113.15493745956
2023-12-18,182017.0933679353
2023-12-19,179755.50648668356
2023-12-20,180570.2469953716
2023-12-21,182672.62331494712
2023-12-22,183095.55562935097
2023-12-25,181608.92186203992
2023-12-26,184241.50205274977
2023-12-27,186728.12619476812
2023-12-28,185684.2228915848
2023-12-29,184519.65512194234
2024-01-02,183272.68385093106
2024-01-03,179929.60107682762
2024-01-04,180210.59915518577
2024-01-05,180402.2079314739
2024-01-08,179948.3266661605
2024-01-09,177885.99183494603
2024-01-10,176377.71137532164
2024-01-11,176487.88603810756
2024-01-12,175967.06957997105
2024-01-15,175288.71849518278
2024-01-16,176062.7202221851
2024-01-17,176110.7425882966
2024-01-18,176451.1287983117
2024-01-19,177374.956448108
2024-01-22,180317.80024674747
2024-01-23,181551.9942473878
2024-01-24,180508.11870371978
2024-01-25,180400.8019447114
2024-01-26,178702.53260049026
2024-01-29,179940.68044574748
2024-01-30,181938.53887402985
2024-01-31,181180.26015497613
2024-02-01,185168.64787916242
2024-02-02,188609.00862827618
2024-02-05,189722.62540495783
2024-02-15,195915.26929037558
2024-02-16,193393.03104470714
2024-02-19,188137.7432951798
2024-02-20,186369.49971693475
2024-02-21,185416.27317475807
2024-02-22,187262.0350302455
2024-02-23,188567.26477663196
2024-02-26,188592.65217905768
2024-02-27,184283.66229967546
2024-02-29,187119.53012048907
2024-03-01,186198.25278580043
2024-03-04,188680.45595743268
2024-03-05,192411.3580479888
2024-03-06,197033.62333089503
2024-03-07,193787.84292397552
2024-03-08,186200.38052706074
2024-03-11,186571.89827392375
2024-03-12,189667.79166808724
2024-03-13,191140.58915445788
2024-03-14,183086.49753756798
2024-03-15,183731.12761423615
2024-03-18,189803.7135366
2024-03-19,188545.24793875517
2024-03-20,186938.09256716096
2024-03-21,187043.18004650468
2024-03-22,185464.19916740945
2024-03-25,186875.53307310562
2024-03-26,182936.80500460908
2024-03-27,182752.73393340938
2024-03-28,181020.6403801491
2024-03-29,180629.25770521787
2024-04-01,179459.54770942422
2024-04-02,183392.86922125006
2024-04-03,184366.0636871081
2024-04-08,183945.15884313956
2024-04-09,187979.5509683892
2024-04-10,186117.92391584683
2024-04-11,184445.50789073308
2024-04-12,188348.00544958073
2024-04-15,183797.52367706827
2024-04-16,175287.9124921331
2024-04-17,182779.59814817383
2024-04-18,185416.79377914366
2024-04-19,176935.58231297907
2024-04-22,170992.45859361454
2024-04-23,171210.7826315501
2024-04-24,173843.41297806302
2024-04-25,172870.19303189253
2024-04-26,174464.96354482012
2024-04-29,175113.31561526284
2024-04-30,174065.3285944848
2024-05-02,173205.0488091016
2024-05-03,172635.44875299034
2024-05-06,172321.74854037497
2024-05-07,172587.8916664677
2024-05-08,171783.89481199067
2024-05-09,171009.72993967592
2024-05-10,171952.95492735587
2024-05-13,171966.48651158265
2024-05-14,171765.60213747798
2024-05-15,172670.46589870757
2024-05-16,178010.43966546282
2024-05-17,175200.72690487854
2024-05-20,173757.95551383853
2024-05-21,171210.35920143145
2024-05-22,172537.92573948312
2024-05-23,172804.03325583166
2024-05-24,175936.93645126978
2024-05-27,181252.63572816452
2024-05-28,184593.75147941353
2024-05-29,181734.19103552093
2024-05-30,180017.95515889936
2024-05-31,174090.75653656817
2024-06-03,174891.79995186237
2024-06-04,172642.90745857885
2024-06-05,175233.58762937397
2024-06-06,175249.23338978994
2024-06-07,177608.66524368545
2024-06-11,168131.21163162962
2024-06-12,165866.01429456077
2024-06-13,169581.83937638116
2024-06-14,172437.4761908042
2024-06-17,170843.17064219812
2024-06-18,172779.5528279313
2024-06-19,172700.27710704444
2024-06-20,175240.75413763354
2024-06-21,174627.02145374723
2024-06-24,171461.4301489578
2024-06-25,172120.09782993663
2024-06-26,172673.72558392625
2024-06-27,173459.1470715532
2024-06-28,174227.20371757404
2024-07-01,174165.37100625288
2024-07-02,172427.7070087393
2024-07-03,174099.7649715174
2024-07-04,175061.39668427774
2024-07-05,174444.1947542533
2024-07-08,178093.58079828892
2024-07-09,179075.87989380342
2024-07-10,181354.66422314444
2024-07-11,183436.660637855
2024-07-12,177499.00593283362
2024-07-15,178461.82968957908
2024-07-16,178119.4851947585
2024-07-17,178581.89179032075
2024-07-18,173133.17833724275
2024-07-19,169022.72604999956
2024-07-22,161081.32843416496
2024-07-23,162589.72677087632
2024-07-26,161503.73196383915
2024-07-29,160240.00772068845
2024-07-30,160911.80800385217
2024-07-31,160833.07271369518
2024-08-01,161682.38934384024
2024-08-02,159330.04525358859
2024-08-05,156177.2201389959
2024-08-06,156275.5862703665
2024-08-07,156434.60343619523
2024-08-08,156209.92916348443
2024-08-09,156507.70360116664
2024-08-12,156717.2667016171
2024-08-13,156763.62027831902
2024-08-14,156684.18448315258
2024-08-15,157504.3630859127
2024-08-16,157561.59816604626
2024-08-19,157373.0551187055
2024-08-20,157682.1381463642
2024-08-21,157646.923060003
2024-08-22,157622.3000974867
2024-08-23,157399.94197348176
2024-08-26,156983.35408252495
2024-08-27,156477.75367287282
2024-08-28,156922.14702079006
2024-08-29,156487.98742223685
2024-08-30,156649.4830305241
2024-09-02,155909.46861232803
2024-09-03,155128.70518836123
2024-09-04,151946.47014740534
2024-09-05,151970.73710366432
2024-09-06,152042.88903011518
2024-09-09,151800.36371210948
2024-09-10,151336.19845492658
2024-09-11,151062.29403889246
2024-09-12,151816.0823389851
2024-09-13,151978.18899040678
2024-09-16,152168.09326695048
2024-09-18,151855.95792899298
2024-09-19,152456.9223066046
2024-09-20,152508.21775544365
2024-09-23,152601.87142009588
2024-09-24,153012.5874781496
2024-09-25,153662.6133581797
2024-09-26,152851.03102750136
2024-09-27,153504.02520512624
2024-09-30,148677.92989178587
2024-10-01,148890.84976931196
2024-10-04,145021.41188790023
2024-10-07,147522.6355060589
2024-10-08,146359.47464115178
2024-10-09,144950.0743364932
2024-10-11,143978.0006136371
2024-10-14,144454.58110944423
2024-10-15,145611.6745900491
2024-10-16,145063.95636463544
2024-10-17,145696.10830272795
2024-10-18,146387.82452574227
2024-10-21,147616.5871243147
2024-10-22,147816.88872192343
2024-10-23,146975.95098816723
2024-10-24,145079.18526439287
2024-10-25,148021.0276837482
2024-10-28,146346.7087867241
2024-10-29,142293.54872678948
2024-10-30,142038.40482505405
2024-11-01,140331.05098515758
2024-11-04,141232.66382580894
