Date,Equity
2023-08-31,200234.0338050486
2023-09-01,198330.13293722796
2023-09-04,199369.6623063935
2023-09-05,199732.096885851
2023-09-06,201363.48194647563
2023-09-07,201020.2950994949
2023-09-08,200654.28964443668
2023-09-11,198792.66734684684
2023-09-12,198841.344236164
2023-09-13,199479.7176601353
2023-09-14,200818.14447567874
2023-09-15,200726.79878479065
2023-09-18,200141.60933417114
2023-09-19,200476.99560698646
2023-09-20,197529.28522939925
2023-09-21,194886.68636296198
2023-09-22,194932.37037271098
2023-09-25,195509.65283767876
2023-09-26,194951.32057319867
2023-09-27,195737.0488120694
2023-09-28,195470.28321717618
2023-10-02,195220.8636347803
2023-10-03,194907.46103735708
2023-10-04,194734.46513290593
2023-10-05,194778.92371775958
2023-10-06,194854.61877793408
2023-10-11,194870.62909727226
2023-10-12,194694.96382406526
2023-10-13,195230.21107033017
2023-10-16,194975.7935770414
2023-10-17,193685.3465109584
2023-10-18,190899.54035690485
2023-10-19,191389.48791937556
2023-10-20,190913.89607219983
2023-10-23,189105.14643522294
2023-10-24,188708.05653854343
2023-10-25,188575.0603616051
2023-10-26,187528.99377765154
2023-10-27,187227.6872478244
2023-10-30,188205.0530873471
2023-10-31,187432.04197317752
2023-11-01,187741.3315815981
2023-11-02,188628.4635516715
2023-11-03,188643.84115418003
2023-11-06,189850.82780886517
2023-11-07,191312.7597527296
2023-11-08,192444.52717894528
2023-11-09,192920.22996816208
2023-11-10,190268.60409985934
2023-11-13,190152.74519709233
2023-11-14,191050.47548089697
2023-11-15,190405.01144084494
2023-11-16,189939.45177640408
2023-11-17,191621.45176572082
2023-11-20,191162.0075246991
2023-11-21,191641.8004742927
2023-11-22,191724.42855191263
2023-11-23,189975.8438345592
2023-11-24,188959.00403541574
2023-11-27,185559.40926686279
2023-11-28,189298.33362184116
2023-11-29,191286.53730503697
2023-11-30,192128.63033833477
2023-12-01,192561.09353214555
2023-12-04,193393.50336491392
2023-12-05,194183.58990583397
2023-12-06,195582.56792570435
2023-12-07,196756.1284027408
2023-12-08,202498.30519053095
2023-12-11,196142.22094841686
2023-12-12,197165.53018745474
2023-12-13,198576.96536602938
2023-12-14,199744.58568155218
2023-12-15,197806.04902306222
2023-12-18,197608.1146568659
2023-12-19,193744.8267839188
2023-12-20,195701.14627758338
2023-12-21,197181.00337778492
2023-12-22,197079.53844575732
2023-12-25,194862.8217271864
2023-12-26,197343.41234159816
2023-12-27,200525.04310792979
2023-12-28,199524.83341584427
2023-12-29,198201.9650647557
2024-01-02,197499.4837254276
2024-01-03,194168.8976361463
2024-01-04,195383.1195555396
2024-01-05,195633.85973795704
2024-01-08,194745.3389986998
2024-01-09,190388.436866307
2024-01-10,188754.59187657395
2024-01-11,189238.88847597982
2024-01-12,188543.07859999046
2024-01-15,188450.79960140854
2024-01-16,189356.2450131641
2024-01-17,189627.2438089571
2024-01-18,189863.842124992
2024-01-19,190774.49520666784
2024-01-22,193351.21630722203
2024-01-23,194461.8097732519
2024-01-24,193352.5580110094
2024-01-25,193265.80752216143
2024-01-26,191401.6158871478
2024-01-29,192783.76883802953
2024-01-30,194842.42275021187
2024-01-31,194259.44410053527
