Ticker,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Return_Pct,Reason,Days_Held,TP_Price,SL_Price
2615,2024-05-15,2024-05-27,65.38,75.71,0.15,🟢 停利,8,75.71,58.93
2609,2024-05-15,2024-06-05,61.44,70.87,0.1455,🟢 停利,15,70.87,55.55
9945,2024-05-15,2024-06-05,40.05,42.16,0.0454,⚪ 時間到期,15,45.84,36.43
2317,2024-05-15,2024-06-05,158.22,165.12,0.0365,⚪ 時間到期,15,180.99,143.99
2357,2024-05-15,2024-06-05,443.32,421.73,-0.0552,⚪ 時間到期,15,491.5,413.22
2618,2024-05-15,2024-06-05,32.88,31.9,-0.0362,⚪ 時間到期,15,37.91,29.73
2637,2024-05-15,2024-06-05,62.24,64.65,0.0315,⚪ 時間到期,15,73.15,55.43
2603,2024-05-16,2024-06-06,157.37,169.84,0.0718,⚪ 時間到期,15,185.37,139.87
2891,2024-05-16,2024-06-06,33.57,33.35,-0.0132,⚪ 時間到期,15,37.15,31.33
2882,2024-05-16,2024-06-06,50.48,50.87,0.0009,⚪ 時間到期,15,54.85,47.75
2615,2024-05-27,2024-06-06,73.91,88.22,0.1855,🟢 停利,8,86.19,66.24
2105,2024-06-05,2024-06-06,51.1,46.71,-0.0922,🔴 停損,1,58.12,46.71
6446,2024-06-05,2024-06-11,392.43,446.74,0.1306,🟢 停利,3,446.74,358.49
2615,2024-06-06,2024-06-12,88.31,76.63,-0.1382,🔴 停損,3,107.0,76.63
2603,2024-06-06,2024-06-12,169.24,148.3,-0.1297,🔴 停損,3,202.75,148.3
2454,2024-06-12,2024-06-19,1172.03,1327.84,0.1252,🟢 停利,5,1327.84,1074.65
2609,2024-06-05,2024-06-27,67.27,65.38,-0.0348,⚪ 時間到期,15,81.92,58.12
2345,2024-06-05,2024-06-27,514.39,517.74,-0.0004,⚪ 時間到期,15,586.97,469.02
2605,2024-06-05,2024-06-27,27.75,27.94,0.0001,⚪ 時間到期,15,33.43,24.19
3443,2024-06-05,2024-06-27,1531.76,1510.62,-0.0205,⚪ 時間到期,15,1784.63,1373.73
