Date,Equity
2023-06-02,201930.64664123743
2023-06-05,201473.95184590016
2023-06-06,200739.01316779846
2023-06-07,206168.0863184547
2023-06-08,201004.78587002968
2023-06-09,208427.3963540329
2023-06-12,206844.0981305425
2023-06-13,212372.3731778734
2023-06-14,213471.76612355644
2023-06-15,220264.70883133405
2023-06-16,220703.99677385073
2023-06-19,219374.61281941453
2023-06-20,217977.3292757791
2023-06-21,219146.36680319218
2023-06-26,215430.71991910602
2023-06-27,204215.9221797913
2023-06-28,204123.04758291203
2023-06-29,206561.72453167083
2023-06-30,212012.60121616526
2023-07-03,219964.71013089304
2023-07-04,229973.73426747654
2023-07-05,225315.5522591533
2023-07-06,222788.11577894256
2023-07-07,219951.64101088318
2023-07-10,221395.5326831625
2023-07-11,230464.2391769667
2023-07-12,238799.86374588427
2023-07-13,242568.40860976715
2023-07-14,247526.36024725618
2023-07-17,249946.75159235674
2023-07-18,241756.12042372182
2023-07-19,233705.21803589788
2023-07-20,239212.73415522825
2023-07-21,251096.87997017906
2023-07-24,257142.9410987175
2023-07-25,252739.39055927852
2023-07-26,250348.03365955202
2023-07-27,251124.1460667544
2023-07-28,253584.70739265822
2023-07-31,234915.7909230313
2023-08-01,228418.89720651976
2023-08-02,208181.86015932134
2023-08-04,209647.20953711838
2023-08-07,223023.72196083172
2023-08-08,221099.61635192955
2023-08-09,219870.25083860813
2023-08-10,207268.13317127878
2023-08-11,210762.24880271102
2023-08-14,207123.13828264675
2023-08-15,212289.11079199295
2023-08-16,216245.60777797204
2023-08-17,219035.1623740149
2023-08-18,213908.21123012327
2023-08-21,214315.96774073463
2023-08-22,216626.06160840028
2023-08-23,217680.71774899025
2023-08-24,218672.40060206232
2023-08-25,217096.98596083236
2023-08-28,216424.9172658622
2023-08-29,216087.22325306942
2023-08-30,215643.0326992276
2023-08-31,215682.18922927184
2023-09-01,215253.42291967332
2023-09-04,215431.27444745105
2023-09-05,215617.12383232755
2023-09-06,216801.89420416212
2023-09-07,216937.4130315701
