,Score
2327,4.0
3481,3.8666666666666663
2303,3.8499999999999996
2454,3.833333333333333
6116,3.6666666666666665
6239,3.65
6415,3.566666666666667
3149,3.5
2344,3.3499999999999996
6285,3.2666666666666666
2395,3.1500000000000004
3036,3.15
6446,3.15
2301,3.1333333333333333
3443,3.033333333333333
2356,3.0166666666666666
2377,2.9333333333333336
3037,2.8833333333333337
2360,2.716666666666667
2404,2.7166666666666663
2408,2.6999999999999997
3711,2.6833333333333336
2345,2.533333333333333
6770,2.4499999999999997
1605,2.216666666666667
2357,2.15
2376,2.1333333333333337
2308,2.1333333333333333
2449,2.1166666666666667
2383,2.1
3034,2.066666666666667
1504,1.8833333333333335
2881,1.85
2317,1.8166666666666667
2885,1.7333333333333334
3661,1.7166666666666668
3035,1.65
2324,1.6
6669,1.5166666666666666
2882,1.4666666666666668
3044,1.3333333333333335
2891,1.2499999999999998
2379,1.2333333333333332
2368,1.2166666666666666
3706,1.1333333333333333
2603,0.9833333333333333
2883,0.9
1303,0.8666666666666667
3231,0.8500000000000001
2002,0.8166666666666667
2330,0.7833333333333333
3533,0.6833333333333333
3017,0.6333333333333333
2412,0.5333333333333333
2887,0.4666666666666667
3045,0.44999999999999996
2382,0.3666666666666667
2892,0.33333333333333337
1519,0.15000000000000002
2884,0.06666666666666667
