,Score
2360,4.0
2408,3.8999999999999995
3017,3.833333333333333
1519,3.833333333333333
2383,3.716666666666667
2344,3.6333333333333333
3044,3.5833333333333335
2404,3.5
2308,3.4166666666666665
6669,3.4166666666666665
3036,3.4166666666666665
3706,3.2333333333333334
3231,3.216666666666667
2368,3.2
2330,3.0
2882,2.8666666666666667
2382,2.8166666666666664
2357,2.8
2301,2.65
2891,2.6333333333333333
2449,2.5833333333333335
2881,2.533333333333333
3711,2.433333333333333
2317,2.416666666666667
3443,2.3000000000000003
2884,2.3
6446,2.283333333333333
3037,2.2
2376,2.1166666666666667
2892,2.1
2885,2.1
2890,2.0166666666666666
3035,1.9
2379,1.8166666666666669
2345,1.6833333333333331
2327,1.6666666666666667
2412,1.6666666666666667
3533,1.5833333333333335
3661,1.5833333333333333
3034,1.5333333333333334
2886,1.4499999999999997
5871,1.4499999999999997
2474,1.25
2377,1.0166666666666666
2454,0.9666666666666667
1216,0.9333333333333333
2324,0.9333333333333333
4904,0.9333333333333333
2303,0.8166666666666667
3045,0.7500000000000001
2603,0.7166666666666667
2618,0.6333333333333333
2883,0.5166666666666666
1303,0.49999999999999994
2615,0.4
4938,0.3666666666666667
2887,0.3333333333333333
2609,0.30000000000000004
1101,0.16666666666666669
2385,0.08333333333333334
