,Score
3443,4.0
2454,3.9166666666666665
2883,3.833333333333333
1303,3.8
6505,3.6666666666666665
2303,3.65
2884,3.533333333333333
3017,3.5
2887,3.466666666666667
2449,3.4333333333333336
2892,3.2666666666666666
2881,3.1833333333333336
2890,3.116666666666667
3044,3.1000000000000005
2360,3.0166666666666666
1326,2.95
2882,2.783333333333333
1301,2.783333333333333
2885,2.6999999999999997
2834,2.6666666666666665
3711,2.533333333333333
2891,2.3833333333333333
2395,2.35
2886,2.3166666666666664
2376,2.216666666666667
2368,2.1166666666666667
2308,2.1
3481,2.0833333333333335
6239,2.0833333333333335
3231,2.05
2379,1.8333333333333335
2408,1.8000000000000003
2377,1.7999999999999998
2412,1.6833333333333333
2357,1.6833333333333333
2382,1.6500000000000001
6770,1.6333333333333335
2404,1.5999999999999999
2330,1.5666666666666667
2301,1.5333333333333332
6669,1.4166666666666665
3036,1.3333333333333333
3034,1.2666666666666666
2317,1.2666666666666666
2615,1.2333333333333334
1519,1.2166666666666668
2603,1.1666666666666665
2609,1.0499999999999998
3037,0.9
2327,0.8833333333333333
2344,0.8500000000000001
3661,0.8166666666666667
1101,0.7333333333333333
3533,0.7000000000000001
6415,0.5333333333333333
2634,0.4
2324,0.31666666666666665
2383,0.30000000000000004
2345,0.11666666666666667
6446,0.11666666666666667
